都道府県コード,都道府県名,市区町村コード,市区町村名,大字町丁目コード,大字町丁目名,経度,緯度,原典資料コード,大字・字・丁目区分コード
16,富山県,16201,富山市,1.6201E+11,岩瀬天神町,137.234006,36.762677,0,1
16,富山県,16201,富山市,1.6201E+11,岩瀬萩浦町,137.230167,36.760191,0,1
16,富山県,16201,富山市,1.6201E+11,岩瀬白山町,137.232759,36.757469,0,1
16,富山県,16201,富山市,1.6201E+11,岩瀬文化町,137.231614,36.755761,0,1
16,富山県,16201,富山市,1.6201E+11,岩瀬前田町,137.239614,36.755447,0,1
16,富山県,16201,富山市,1.6201E+11,岩瀬松原町,137.231062,36.759598,0,1
16,富山県,16201,富山市,1.6201E+11,岩瀬港町,137.228439,36.758944,0,1
16,富山県,16201,富山市,1.6201E+11,牛ケ増,137.227491,36.552687,0,1
16,富山県,16201,富山市,1.6201E+11,牛島新町,137.217113,36.702671,0,1
16,富山県,16201,富山市,1.6201E+11,牛島町,137.214224,36.703405,0,1
16,富山県,16201,富山市,1.6201E+11,牛島本町一丁目,137.21143,36.705885,0,3
16,富山県,16201,富山市,1.6201E+11,牛島本町二丁目,137.208813,36.708727,0,3
16,富山県,16201,富山市,1.6201E+11,薄波,137.263083,36.510342,0,1
16,富山県,16201,富山市,1.6201E+11,打出,137.183536,36.752779,0,1
16,富山県,16201,富山市,1.6201E+11,打出新,137.181043,36.757123,0,1
16,富山県,16201,富山市,1.6201E+11,内幸町,137.210311,36.697432,0,1
16,富山県,16201,富山市,1.6201E+11,馬瀬,137.279111,36.565879,0,1
16,富山県,16201,富山市,1.6201E+11,梅沢町一丁目,137.218273,36.684861,0,3
16,富山県,16201,富山市,1.6201E+11,梅沢町二丁目,137.218725,36.682977,0,3
16,富山県,16201,富山市,1.6201E+11,梅沢町三丁目,137.22055,36.684221,0,3
16,富山県,16201,富山市,1.6201E+11,上野,137.218146,36.640761,0,1
16,富山県,16201,富山市,1.6201E+11,上野寿町,137.215549,36.63781,0,1
16,富山県,16201,富山市,1.6201E+11,上野新,137.222419,36.738126,0,1
16,富山県,16201,富山市,1.6201E+11,上野新町,137.224851,36.735011,0,1
16,富山県,16201,富山市,1.6201E+11,永楽町,137.221417,36.703907,0,1
16,富山県,16201,富山市,1.6201E+11,越前町,137.21054,36.68868,0,1
16,富山県,16201,富山市,1.6201E+11,江本,137.237831,36.618547,0,1
16,富山県,16201,富山市,1.6201E+11,荏原新町,137.264688,36.695047,0,1
16,富山県,16201,富山市,1.6201E+11,蛯町,137.216839,36.691163,0,1
16,富山県,16201,富山市,1.6201E+11,追分茶屋,137.169057,36.706564,0,1
16,富山県,16201,富山市,1.6201E+11,大井,137.247817,36.610034,0,1
16,富山県,16201,富山市,1.6201E+11,大泉,137.226839,36.674504,0,1
16,富山県,16201,富山市,1.6201E+11,大泉北町,137.22589,36.682781,0,1
16,富山県,16201,富山市,1.6201E+11,大泉中町,137.226531,36.680212,0,1
16,富山県,16201,富山市,1.6201E+11,大泉東町一丁目,137.228473,36.682353,0,3
16,富山県,16201,富山市,1.6201E+11,大泉東町二丁目,137.228555,36.678701,0,3
16,富山県,16201,富山市,1.6201E+11,大泉本町一丁目,137.224247,36.677471,0,3
16,富山県,16201,富山市,1.6201E+11,大泉本町二丁目,137.22465,36.675999,0,3
16,富山県,16201,富山市,1.6201E+11,大泉町一丁目,137.221669,36.682434,0,3
16,富山県,16201,富山市,1.6201E+11,大泉町二丁目,137.223602,36.682597,0,3
16,富山県,16201,富山市,1.6201E+11,大泉町三丁目,137.224006,36.684351,0,3
16,富山県,16201,富山市,1.6201E+11,大江干,137.266574,36.693235,0,1
16,富山県,16201,富山市,1.6201E+11,大江干新町,137.263775,36.69254,0,1
16,富山県,16201,富山市,1.6201E+11,大栗,137.280313,36.612076,0,1
16,富山県,16201,富山市,1.6201E+11,大島一丁目,137.277126,36.663401,0,3
16,富山県,16201,富山市,1.6201E+11,大島二丁目,137.271994,36.67337,0,3
16,富山県,16201,富山市,1.6201E+11,大島三丁目,137.280711,36.667648,0,3
16,富山県,16201,富山市,1.6201E+11,大島四丁目,137.277984,36.671942,0,3
16,富山県,16201,富山市,1.6201E+11,大清水,137.269158,36.528027,0,1
16,富山県,16201,富山市,1.6201E+11,大双嶺,137.289101,36.522509,0,1
16,富山県,16201,富山市,1.6201E+11,太田,137.242178,36.662945,0,1
16,富山県,16201,富山市,1.6201E+11,太田薄波,137.267686,36.498352,0,1
16,富山県,16201,富山市,1.6201E+11,太田口通り一丁目,137.21469,36.687504,0,3
16,富山県,16201,富山市,1.6201E+11,太田口通り二丁目,137.214985,36.685966,0,3
16,富山県,16201,富山市,1.6201E+11,太田口通り三丁目,137.215152,36.684722,0,3
16,富山県,16201,富山市,1.6201E+11,於保多町,137.226409,36.69402,0,1
16,富山県,16201,富山市,1.6201E+11,太田南町,137.244544,36.656383,0,1
16,富山県,16201,富山市,1.6201E+11,大塚,137.16163,36.730484,0,1
16,富山県,16201,富山市,1.6201E+11,大塚北,137.16429,36.737503,0,1
16,富山県,16201,富山市,1.6201E+11,大塚西,137.15795,36.730832,0,1
16,富山県,16201,富山市,1.6201E+11,大塚東,137.166383,36.734882,0,1
16,富山県,16201,富山市,1.6201E+11,大塚南,137.161024,36.7267,0,1
16,富山県,16201,富山市,1.6201E+11,大手町,137.211534,36.691012,0,1
16,富山県,16201,富山市,1.6201E+11,大野,137.216724,36.579712,0,1
16,富山県,16201,富山市,1.6201E+11,大場,137.277234,36.65047,0,1
16,富山県,16201,富山市,1.6201E+11,大町,137.222892,36.668031,0,1
16,富山県,16201,富山市,1.6201E+11,大宮町,137.250354,36.660908,0,1
16,富山県,16201,富山市,1.6201E+11,大山上野,137.310761,36.600555,0,1
16,富山県,16201,富山市,1.6201E+11,大山北新町,137.30273,36.613111,0,1
16,富山県,16201,富山市,1.6201E+11,大山布目,137.286964,36.588436,0,1
16,富山県,16201,富山市,1.6201E+11,大山松木,137.343259,36.569664,0,1
16,富山県,16201,富山市,1.6201E+11,岡田,137.330158,36.579256,0,1
16,富山県,16201,富山市,1.6201E+11,奥井町,137.22579,36.703339,0,1
16,富山県,16201,富山市,1.6201E+11,奥田寿町,137.219996,36.705765,0,1
16,富山県,16201,富山市,1.6201E+11,奥田新町,137.217277,36.705496,0,1
16,富山県,16201,富山市,1.6201E+11,奥田双葉町,137.219281,36.708243,0,1
16,富山県,16201,富山市,1.6201E+11,奥田本町,137.22129,36.713744,0,1
16,富山県,16201,富山市,1.6201E+11,奥田町,137.22005,36.710831,0,1
16,富山県,16201,富山市,1.6201E+11,奥山,137.29988,36.481137,0,1
16,富山県,16201,富山市,1.6201E+11,小黒,137.226201,36.604968,0,1
16,富山県,16201,富山市,1.6201E+11,小佐波,137.255733,36.554675,0,1
16,富山県,16201,富山市,1.6201E+11,押上,137.186633,36.612598,0,1
16,富山県,16201,富山市,1.6201E+11,小谷,137.298661,36.570288,0,1
16,富山県,16201,富山市,1.6201E+11,音羽町一丁目,137.227784,36.689726,0,3
16,富山県,16201,富山市,1.6201E+11,音羽町二丁目,137.229974,36.689918,0,3
16,富山県,16201,富山市,1.6201E+11,小原,137.346525,36.524618,0,1
16,富山県,16201,富山市,1.6201E+11,小原屋,137.2851,36.614958,0,1
16,富山県,16201,富山市,1.6201E+11,小見,137.385976,36.559412,0,1
16,富山県,16201,富山市,1.6201E+11,雄山町,137.228121,36.684489,0,1
16,富山県,16201,富山市,1.6201E+11,折谷,137.267794,36.540429,0,1
16,富山県,16201,富山市,1.6201E+11,隠土,137.338802,36.561378,0,1
16,富山県,16201,富山市,1.6201E+11,海岸通,137.2509,36.757998,0,1
16,富山県,16201,富山市,1.6201E+11,開発,137.247743,36.631827,0,1
16,富山県,16201,富山市,1.6201E+11,加賀沢,137.211063,36.443882,0,1
16,富山県,16201,富山市,1.6201E+11,掛尾栄町,137.207264,36.667628,0,1
16,富山県,16201,富山市,1.6201E+11,掛尾町,137.209706,36.664432,0,1
16,富山県,16201,富山市,1.6201E+11,鹿島町一丁目,137.204164,36.691183,0,3
16,富山県,16201,富山市,1.6201E+11,鹿島町二丁目,137.204661,36.689111,0,3
16,富山県,16201,富山市,1.6201E+11,春日,137.203561,36.563817,0,1
16,富山県,16201,富山市,1.6201E+11,片掛,137.225599,36.495899,0,1
16,富山県,16201,富山市,1.6201E+11,金代,137.260456,36.688975,0,1
16,富山県,16201,富山市,1.6201E+11,金屋,137.164291,36.690421,0,1
16,富山県,16201,富山市,1.6201E+11,金山新,137.207482,36.740773,0,1
16,富山県,16201,富山市,1.6201E+11,金山新北,137.205138,36.744896,0,1
16,富山県,16201,富山市,1.6201E+11,金山新桜ヶ丘,137.217203,36.740204,0,1
16,富山県,16201,富山市,1.6201E+11,金山新中,137.205564,36.738715,0,1
16,富山県,16201,富山市,1.6201E+11,金山新西,137.20159,36.742443,0,1
16,富山県,16201,富山市,1.6201E+11,金山新東,137.217055,36.737903,0,1
16,富山県,16201,富山市,1.6201E+11,金山新南,137.214589,36.731403,0,1
16,富山県,16201,富山市,1.6201E+11,蟹寺,137.232663,36.456481,0,1
16,富山県,16201,富山市,1.6201E+11,加納,137.192276,36.580511,0,1
16,富山県,16201,富山市,1.6201E+11,上赤江,137.237139,36.708268,0,1
16,富山県,16201,富山市,1.6201E+11,上赤江町一丁目,137.233946,36.709542,0,3
16,富山県,16201,富山市,1.6201E+11,上赤江町二丁目,137.230353,36.711715,0,3
16,富山県,16201,富山市,1.6201E+11,上飯野,137.2495,36.709523,0,1
16,富山県,16201,富山市,1.6201E+11,上飯野新町一丁目,137.253862,36.713472,0,3
16,富山県,16201,富山市,1.6201E+11,上飯野新町二丁目,137.255662,36.713353,0,3
16,富山県,16201,富山市,1.6201E+11,上飯野新町五丁目,137.252513,36.713263,0,3
16,富山県,16201,富山市,1.6201E+11,上今町,137.252479,36.605486,0,1
16,富山県,16201,富山市,1.6201E+11,上大浦,137.275118,36.607242,0,1
16,富山県,16201,富山市,1.6201E+11,上大久保,137.208162,36.591116,0,1
16,富山県,16201,富山市,1.6201E+11,上熊野,137.22307,36.621344,0,1
16,富山県,16201,富山市,1.6201E+11,上栄,137.237246,36.629784,0,1
16,富山県,16201,富山市,1.6201E+11,上庄町,137.252503,36.706506,0,1
16,富山県,16201,富山市,1.6201E+11,上新保,137.237429,36.652561,0,1
16,富山県,16201,富山市,1.6201E+11,上千俵町,137.250175,36.621129,0,1
16,富山県,16201,富山市,1.6201E+11,上滝,137.304078,36.61036,0,1
16,富山県,16201,富山市,1.6201E+11,上布目,137.255957,36.610557,0,1
16,富山県,16201,富山市,1.6201E+11,上袋,137.213869,36.659005,0,1
16,富山県,16201,富山市,1.6201E+11,上冨居,137.238967,36.712125,0,1
16,富山県,16201,富山市,1.6201E+11,上冨居一丁目,137.241797,36.70504,0,3
16,富山県,16201,富山市,1.6201E+11,上冨居二丁目,137.243209,36.70888,0,3
16,富山県,16201,富山市,1.6201E+11,上冨居三丁目,137.240377,36.708825,0,3
16,富山県,16201,富山市,1.6201E+11,上冨居新町,137.238994,36.70735,0,1
16,富山県,16201,富山市,1.6201E+11,上二杉,137.198858,36.590814,0,1
16,富山県,16201,富山市,1.6201E+11,上堀南町,137.235081,36.65143,0,1
16,富山県,16201,富山市,1.6201E+11,上本町,137.215779,36.686557,0,1
16,富山県,16201,富山市,1.6201E+11,上八日町,137.198655,36.645782,0,1
16,富山県,16201,富山市,1.6201E+11,亀谷,137.440678,36.543125,0,1
16,富山県,16201,富山市,1.6201E+11,河内,137.315149,36.515599,0,1
16,富山県,16201,富山市,1.6201E+11,川原毛,137.272596,36.692208,0,1
16,富山県,16201,富山市,1.6201E+11,願海寺,137.140944,36.717634,0,1
16,富山県,16201,富山市,1.6201E+11,北押川,137.130464,36.685184,0,1
16,富山県,16201,富山市,1.6201E+11,北新町一丁目,137.220888,36.694313,0,3
16,富山県,16201,富山市,1.6201E+11,北新町二丁目,137.220909,36.692956,0,3
16,富山県,16201,富山市,1.6201E+11,北代,137.182161,36.716519,0,1
16,富山県,16201,富山市,1.6201E+11,北代新,137.186028,36.721167,0,1
16,富山県,16201,富山市,1.6201E+11,北代中部,137.178013,36.725083,0,1
16,富山県,16201,富山市,1.6201E+11,北代東部,137.184715,36.724939,0,1
16,富山県,16201,富山市,1.6201E+11,北代北部,137.175242,36.73122,0,1
16,富山県,16201,富山市,1.6201E+11,北野,137.112887,36.67104,0,1
16,富山県,16201,富山市,1.6201E+11,北二ツ屋,137.146281,36.721957,0,1
